Venue,Date,Team_A,Team_B,Team_A_Ranking,Team_B_Ranking,Winner,Team_A_Score,Team_A_Wickets_Lost,Team_B_Score,Team_B_Wickets_Lost,Is_Home_Team_A,Is_Home_Team_B,Toss_Winner,Toss_Decision
Newlands,2017-01-25,South Africa,Sri Lanka,4,8,Sri Lanka,169,5,170,5,0,0,South Africa,bat
Vidarbha Cricket Association Stadium,2016-03-08,Afghanistan,Scotland,10,13,Afghanistan,170,5,156,5,0,0,Afghanistan,bat
Himachal Pradesh Cricket Association Stadium,2016-03-09,Bangladesh,Netherlands,9,15,Bangladesh,153,7,145,7,0,0,Netherlands,field
Himachal Pradesh Cricket Association Stadium,2016-03-09,Ireland,Oman,11,18,Oman,154,5,157,8,0,0,Ireland,bat
Himachal Pradesh Cricket Association Stadium,2016-03-11,Bangladesh,Ireland,9,11,,94,2,0,0,0,0,Ireland,field
Himachal Pradesh Cricket Association Stadium,2016-03-13,Ireland,Netherlands,11,15,Netherlands,47,7,59,5,0,0,Ireland,field
Himachal Pradesh Cricket Association Stadium,2016-03-13,Bangladesh,Oman,9,18,Bangladesh,180,2,65,9,0,0,Oman,field
Vidarbha Cricket Association Stadium,2016-03-15,India,New Zealand,1,5,New Zealand,79,10,126,7,0,0,New Zealand,bat
Wankhede Stadium,2016-03-16,England,West Indies,3,6,West Indies,182,6,183,4,0,1,West Indies,field
Eden Gardens,2016-03-16,Bangladesh,Pakistan,9,7,Pakistan,146,6,201,5,0,0,Pakistan,bat
Eden Gardens,2016-03-17,Afghanistan,Sri Lanka,10,8,Sri Lanka,153,7,155,4,0,0,Afghanistan,bat
Himachal Pradesh Cricket Association Stadium,2016-03-18,Australia,New Zealand,2,5,New Zealand,134,9,142,8,0,0,New Zealand,bat
Wankhede Stadium,2016-03-18,England,South Africa,3,4,England,230,8,229,4,0,0,England,field
Eden Gardens,2016-03-19,India,Pakistan,1,7,India,119,4,118,5,0,0,India,field
Wankhede Stadium,2016-03-20,Afghanistan,South Africa,10,4,South Africa,172,10,209,5,0,0,South Africa,bat
M Chinnaswamy Stadium,2016-03-20,Sri Lanka,West Indies,8,6,West Indies,122,9,127,3,0,1,West Indies,field
M Chinnaswamy Stadium,2016-03-21,Australia,Bangladesh,2,9,Australia,157,7,156,5,0,0,Australia,field
Punjab Cricket Association IS Bindra Stadium,2016-03-22,New Zealand,Pakistan,5,7,New Zealand,180,5,158,5,0,0,New Zealand,bat
Feroz Shah Kotla,2016-03-23,Afghanistan,England,10,3,England,127,9,142,7,0,0,England,bat
M Chinnaswamy Stadium,2016-03-23,India,Bangladesh,1,9,India,146,7,145,9,0,0,Bangladesh,field
Punjab Cricket Association IS Bindra Stadium,2016-03-25,Australia,Pakistan,2,7,Australia,193,4,172,8,0,0,Australia,bat
Vidarbha Cricket Association Stadium,2016-03-25,South Africa,West Indies,4,6,West Indies,122,8,123,7,0,1,West Indies,field
Eden Gardens,2016-03-26,Bangladesh,New Zealand,9,5,New Zealand,70,10,145,8,0,0,New Zealand,bat
Feroz Shah Kotla,2016-03-26,England,Sri Lanka,3,8,England,171,4,161,8,0,0,Sri Lanka,field
Punjab Cricket Association IS Bindra Stadium,2016-03-27,India,Australia,1,2,India,161,4,160,6,0,0,Australia,bat
Vidarbha Cricket Association Stadium,2016-03-27,Afghanistan,West Indies,10,6,Afghanistan,123,7,117,8,0,1,West Indies,field
Feroz Shah Kotla,2016-03-28,South Africa,Sri Lanka,4,8,South Africa,122,2,120,10,0,0,South Africa,field
Feroz Shah Kotla,2016-03-30,England,New Zealand,3,5,England,159,3,153,8,0,0,England,field
Wankhede Stadium,2016-03-31,India,West Indies,1,6,West Indies,192,2,196,3,0,1,West Indies,field
Eden Gardens,2016-04-03,England,West Indies,3,6,West Indies,155,9,161,6,0,1,West Indies,field
Tony Ireland Stadium,2016-02-07,Ireland,Papua New Guinea,11,20,Ireland,96,5,89,9,0,0,Papua New Guinea,field
Tony Ireland Stadium,2016-02-09,Ireland,Papua New Guinea,11,20,Papua New Guinea,105,10,116,8,0,0,Papua New Guinea,bat
Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka,1,8,Sri Lanka,101,10,105,5,0,0,Sri Lanka,field
JSCA International Stadium Complex,2016-02-12,India,Sri Lanka,1,8,India,196,6,127,9,0,0,Sri Lanka,field
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-02-14,India,Sri Lanka,1,8,India,84,1,82,10,0,0,India,field
Khan Shaheb Osman Ali Stadium,2016-02-20,Afghanistan,Oman,10,18,Afghanistan,168,7,165,4,0,0,Oman,bat
Shere Bangla National Stadium,2016-02-24,India,Bangladesh,1,9,India,166,6,121,7,0,0,Bangladesh,field
Shere Bangla National Stadium,2016-02-27,India,Pakistan,1,7,India,85,5,83,10,0,0,India,field
Shere Bangla National Stadium,2016-02-28,Bangladesh,Sri Lanka,9,8,Bangladesh,147,7,124,8,0,0,Bangladesh,bat
Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,1,8,India,142,5,138,9,0,0,India,field
Shere Bangla National Stadium,2016-03-02,Bangladesh,Pakistan,9,7,Bangladesh,131,5,129,7,0,0,Pakistan,bat
Shere Bangla National Stadium,2016-03-04,Pakistan,Sri Lanka,7,8,Pakistan,151,4,150,4,0,0,Pakistan,field
Shere Bangla National Stadium,2016-03-06,Bangladesh,India,9,1,India,120,5,122,2,0,0,India,field
Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia,8,2,Australia,178,9,263,3,0,0,Sri Lanka,field
R Premadasa Stadium,2016-09-09,Sri Lanka,Australia,8,2,Australia,128,9,130,6,0,0,Sri Lanka,bat
